window,target,Return,Risk, Residual
0,0,-0.000461536,0.0212103,0.000355003
0,0.005,0.00694187,0.0318814,5.94469e-06
0,0.01,0.0142966,0.0412981,8.63726e-06
0,0.015,0.0219785,0.052177,2.61299e-05
0,0.02,0.0289444,0.0600938,1.1802e-05
0,0.025,0.0364498,0.0717982,2.6985e-05
0,0.03,0.0437495,0.0829779,1.30083e-05
0,0.035,0.0508999,0.0944107,1.1839e-05
0,0.04,0.0581397,0.106024,9.85459e-05
0,0.045,0.0653631,0.117697,0.000148089
0,0.05,0.072705,0.128796,1.2818e-05
0,0.055,0.0798935,0.141276,5.55112e-05
0,0.06,0.0871358,0.152467,0.00105649
0,0.065,0.094406,0.164986,1.9316e-05
0,0.07,0.102056,0.180778,3.51777e-05
0,0.075,0.108912,0.187518,2.72983e-05
0,0.08,0.116134,0.200737,0.00017101
0,0.085,0.123397,0.212753,3.01455e-05
0,0.09,0.130615,0.222983,2.48879e-05
0,0.095,0.1379,0.236588,2.84754e-05
0,0.1,0.145017,0.248746,0.0011588
1,0,0.00667682,0.0198862,2.18459e-06
1,0.005,0.00455685,0.0140223,8.07497e-06
1,0.01,0.00232266,0.0188571,5.04899e-05
1,0.015,0.000555087,0.0326823,1.15443e-05
1,0.02,-0.00182403,0.0432036,3.84791e-05
1,0.025,-0.00430382,0.0536235,2.99948e-05
1,0.03,-0.00557038,0.0735525,0.000135786
1,0.035,-0.00789269,0.0859001,7.50767e-05
1,0.04,-0.00998719,0.0996823,3.83515e-05
1,0.045,-0.0119442,0.114219,0.00353854
1,0.05,-0.0136541,0.129864,3.22707e-05
1,0.055,-0.0165096,0.137527,5.52141e-05
1,0.06,-0.0182365,0.155152,0.000567953
1,0.065,-0.0202193,0.169955,0.000845092
1,0.07,-0.0227298,0.180252,6.38412e-05
1,0.075,-0.0246613,0.195629,9.08695e-05
1,0.08,-0.0265226,0.210627,4.55833e-05
1,0.085,-0.0291495,0.219431,5.10391e-05
1,0.09,-0.0313218,0.232666,5.04136e-05
1,0.095,-0.0324102,0.254628,0.00776247
1,0.1,-0.035602,0.259815,0.000102616
2,0,0.0126277,0.0329446,1.44161e-06
2,0.005,0.0103001,0.0246964,1.81311e-06
2,0.01,0.00772006,0.019244,2.77857e-06
2,0.015,0.00499296,0.0203296,6.02866e-06
2,0.02,0.00239193,0.0265413,7.76849e-06
2,0.025,-0.00025359,0.0357945,1.03238e-05
2,0.03,-0.0028584,0.0459744,0.000209318
2,0.035,-0.00553495,0.0566991,2.88607e-05
2,0.04,-0.00809428,0.0683471,0.000264733
2,0.045,-0.0107615,0.0790213,1.92024e-05
2,0.05,-0.0133725,0.0903304,1.40197e-05
2,0.055,-0.0159909,0.102496,1.9791e-05
2,0.06,-0.0185463,0.11342,0.00147072
2,0.065,-0.0212006,0.125567,0.000441942
2,0.07,-0.0238193,0.136193,4.87438e-05
2,0.075,-0.0263912,0.148881,0.00118325
2,0.08,-0.0290389,0.159257,2.62632e-05
2,0.085,-0.0316592,0.172276,5.54044e-05
2,0.09,-0.0342581,0.182381,0.000303463
2,0.095,-0.0367522,0.194719,3.2528e-05
2,0.1,-0.0553844,0.227903,0.134996
3,0,0.00270104,0.0254713,2.19884e-05
3,0.005,0.00378333,0.0153847,2.3994e-06
3,0.01,0.00482976,0.021007,1.88146e-06
3,0.015,0.00583157,0.0354229,3.45691e-06
3,0.02,0.00689103,0.051908,6.05757e-05
3,0.025,0.00785577,0.0686095,4.20977e-06
3,0.03,0.00875614,0.0854703,1.72909e-05
3,0.035,0.0099002,0.10299,2.74959e-05
3,0.04,0.0110157,0.12048,1.05913e-05
3,0.045,0.0118829,0.136877,0.00304468
3,0.05,0.012863,0.154524,7.6387e-05
3,0.055,0.0138757,0.171867,2.12617e-05
3,0.06,0.0150986,0.189815,3.20511e-05
3,0.065,0.0157277,0.206175,1.46223e-05
3,0.07,0.0169683,0.224021,1.1994e-05
3,0.075,0.0181362,0.242018,1.43449e-05
3,0.08,0.0190028,0.258755,1.88254e-05
3,0.085,0.0202454,0.276898,1.45892e-05
3,0.09,0.0209746,0.293476,1.6612e-05
3,0.095,0.0222416,0.311709,1.66966e-05
3,0.1,0.0231842,0.32893,2.74626e-05
4,0,0.0090812,0.0263125,1.88671e-06
4,0.005,0.0168268,0.0280531,2.6521e-06
4,0.01,0.024839,0.0381914,3.05759e-06
4,0.015,0.0325936,0.0517058,7.02128e-06
4,0.02,0.0407315,0.0672485,5.22728e-06
4,0.025,0.0485498,0.0829933,5.04291e-06
4,0.03,0.056348,0.0990336,8.13037e-06
4,0.035,0.0638354,0.114842,1.36263e-05
4,0.04,0.071873,0.13156,8.15217e-06
4,0.045,0.079254,0.147469,0.000248844
4,0.05,0.0873699,0.1644,9.35911e-06
4,0.055,0.0949212,0.180613,0.000889709
4,0.06,0.102858,0.197409,1.12212e-05
4,0.065,0.109605,0.212616,2.29278e-05
